Numero;Especie;Individuo;Hoja;Area;Biomasa_g;AreaSobreBiomas;Observación
306;Jabuticaba;1;5;5.87776602222222;0.02210000000000001;265.9622634489691;
307;Jabuticaba;1;6;5.21576017777778;0.030000000000000027;173.85867259259248;
308;Jabuticaba;1;7;5.43884216888889;0.03290000000000015;165.31435163795942;
309;Jabuticaba;1;8;5.69726459111111;0.03380000000000005;168.55812399736985;
310;Jabuticaba;1;10;6.68500455111111;0.03610000000000002;185.18018147122177;
311;Jabuticaba;1;13;4.26938214222222;0.03370000000000006;126.68789739531786;
312;Jabuticaba;1;14;5.49468435111111;0.029199999999999893;188.17412161339487;
313;Jabuticaba;1;15;5.36364518666667;0.03330000000000011;161.0704260260256;
314;Cerezo;1;3;8.54478577777778;0.05590000000000006;152.85842178493328;
315;Cerezo;1;4;8.97661287111111;0.04960000000000009;180.98009820788496;
316;Cerezo;1;5;7.24292458222222;0.04880000000000018;148.42058570127446;
317;Cerezo;1;6;8.12277945333334;0.0411999999999999;197.15484110032426;
318;Cerezo;1;7;8.11044972888889;0.04279999999999995;189.4964889927313;
319;Cerezo;1;8;7.15045164888889;0.04679999999999995;152.7874283950619;
320;Cerezo;1;9;6.09812400444445;0.036799999999999944;165.70989142512116;
321;Cerezo;1;10;9.10277749333334;0.04420000000000002;205.94519215686282;
322;Cerezo;1;11;7.37912502666667;0.03590000000000004;205.54665812441954;
323;Cerezo;1;12;8.81295728444445;0.04410000000000003;199.84030123456787;
324;Cerezo;1;13;9.26922877333333;0.04740000000000011;195.55334964838204;
325;Cerezo;1;14;6.19009514666667;0.04339999999999988;142.628920430108;
326;Cerezo;1;15;6.26493370666667;0.038000000000000034;164.86667649122802;
327;Carambolo;1;1;131.735292084444;0.9613;137.03868936278374;
328;Carambolo;1;2;134.884963204444;1.0485;128.6456492174001;
329;Carambolo;1;4;108.402220471111;0.8235000000000001;131.6359689995276;
330;Carambolo;1;5;76.5138971511111;0.6635;115.31860911998659;
331;Carambolo;1;6;93.5878414977778;0.8138000000000001;115.00103403511648;
332;Carambolo;1;8;49.6849185511111;0.16369999999999996;303.5120253580398;
333;Carambolo;1;9;132.950630155556;0.794;167.4441185838237;
334;Carambolo;1;10;37.8250139555556;0.15039999999999987;251.4961034278965;
335;Carambolo;1;11;58.93343052;0.33729999999999993;174.72111034687225;
336;Carambolo;1;12;68.3529098888889;0.34350000000000014;198.98954843926893;
337;Carambolo;1;13;64.6283295244445;0.43789999999999996;147.58695940727222;
338;Carambolo;1;14;113.090884928889;0.7827000000000002;144.4881626790456;
339;Carambolo;1;15;29.0833826933333;0.18099999999999983;160.68167233885816;
340;Acasia;1;1;156.128648315556;1.0587;147.47203959153302;
341;Acasia;1;2;151.427367395556;0.8904000000000001;170.06667497254713;
342;Acasia;1;3;154.719188768889;0.9181999999999999;168.50271048670118;
343;Acasia;1;4;149.321493471111;0.9358000000000002;159.56560533352317;
344;Acasia;1;5;91.8292787066667;0.6244000000000001;147.06803124065775;
345;Acasia;1;6;98.0803056311111;0.792;123.83876973625138;
346;Acasia;1;8;90.10433592;0.7107000000000001;126.78251853102573;
347;Acasia;1;9;106.725449631111;0.8278000000000001;128.9266122627579;
348;Acasia;1;10;99.0334936888889;0.7473000000000001;132.5217365032636;
349;Acasia;1;11;120.826281644444;0.6546000000000001;184.58032637403602;
350;Acasia;1;12;106.417995048889;0.7732999999999999;137.61540805494505;
351;Acasia;1;13;166.410993342222;1.0165;163.7097819402086;
352;Acasia;1;15;102.90689096;0.6043000000000001;170.29106562965413;
353;Totumo;1;1;96.0907038755556;0.8499000000000001;113.06118822868055;
354;Totumo;1;2;96.0865461777778;0.7599999999999998;126.42966602339189;
355;Totumo;1;3;58.5557251822222;0.3174999999999999;184.42748088888888;
356;Totumo;1;4;73.2612154844445;0.5344;137.09059783765812;
357;Totumo;1;5;52.8492132977778;0.31000000000000005;170.48133321863804;
358;Totumo;1;6;62.9543543777778;0.33119999999999994;190.07957239667212;
359;Totumo;1;7;104.210185844444;0.7013999999999998;148.5745449735444;
360;Totumo;1;9;35.7584947911111;0.20130000000000003;177.63782807308044;
