Número del Individuo,Nombre común,Tipo_Hoja,Material_2.5,Material_10,Diametro,BiomasaEstimada,Altura,Area,n_Individuos
1,Guayabo,Simple,0.03112795698924753,0.037335483870967856,80,10386.748131823553,4.752049538775145,572.063,
2,Guayabo,Simple,0.014461290322580589,0.09243548387096778,"18/26,5/20,5/32,5/20/33/43/29/27/12",35028.74799406027,4.215844115381171,499.055,
3,Guayabo,Simple,0.014961290322580534,0.14460215053763448,41.7,4742.82145334331,5.521168820224332,668.457,
4,Guayabo,Simple,0.02436129032258072,0.0729021505376346,76/70,18034.572215355285,9.628065938662099,494.036,
5,Guayabo,Simple,0.024861290322580887,0.06273548387096772,42/39/46/21,17543.850637893458,7.98444184339372,605.88,
6,Guayabo,Simple,0.06616129032258078,0.052935483870967914,50/44/56/27/62,27644.300720181796,7.107986283200214,522.222,
7,Guayabo,Simple,0.02546129032258082,0.059335483870967876,"33/28,5/27/32,5",15028.478809480781,5.062727414011374,460.813,
8,Guayabo,Simple,0.03316129032258086,0.04713548387096789,54.5,6163.309998597545,7.057961884250789,381.595,
9,Guayabo,Simple,0.021961290322580762,0.05783548387096782,46/27/27,12200.182239369395,6.154340955627815,517.635,
10,Guayabo,Simple,0.01746666666666674,0.039735483870967814,81,10601.527571234252,5.267169095163338,572.0,
1,Guayacan Amarillo,Digitada,0.030933333333333257,0.1013333333333335,58.9,6744.114534092521,7.8994842789990205,11328.36142925334,
2,Guayacan Amarillo,Digitada,0.05162795698924749,0.23126881720430115,51.3,5772.576579868776,6.246920984795349,4387.567855671112,
3,Guayacan Amarillo,Digitada,0.029933333333333367,0.06566666666666676,47.3,5318.8080407443595,6.0684849285739,1651.395908671111,
4,Guayacan Amarillo,Digitada,0.020466666666666633,0.10633333333333361,44.7,5043.1666027532,5.928368238315379,13137.44741680889,
5,Guayacan Amarillo,Digitada,0.03393333333333359,0.10033333333333339,25.2,3383.53603955737,2.0748617497521593,3985.360057937778,
6,Guayacan Amarillo,Digitada,0.04293333333333349,0.1223333333333334,57,6486.883952754216,6.075083888251274,3702.062488333333,
7,Guayacan Amarillo,Digitada,0.023933333333333362,0.12033333333333363,50.6,5690.461775719187,6.699407308634797,4475.671120324445,
8,Guayacan Amarillo,Digitada,0.019466666666666743,0.1243333333333334,"39,9/ 23,2",7819.098459001754,5.954127946652007,3522.37632440889,
9,Guayacan Amarillo,Digitada,0.027933333333333366,0.08900000000000041,63.7,7440.316341328899,7.517360534650028,3768.965293595555,
10,Guayacan Amarillo,Digitada,0.026933333333333476,0.09533333333333327,48.9,5495.870251572918,7.080364123699438,,
1,Guayacan manizaleño,Simple,0.019361290322580604,0.014435483870967936,97.5,14860.534013888686,12.148856071503932,235.9728613866667,
2,Guayacan manizaleño,Simple,0.018161290322580737,0.025435483870967834,87,11986.75218444618,14.213292077996126,455.6398055644445,
3,Guayacan manizaleño,Simple,0.033922580645161626,0.045670967741935575,65,7640.941971849962,9.576564013118725,478.94355824,
4,Guayacan manizaleño,Simple,0.031661290322580804,0.03033548387096796,90,12745.828382273294,8.609374360498016,556.6322200666666,
5,Guayacan manizaleño,Simple,0.018161290322580737,0.01613548387096797,69,8292.820935997644,11.999999999999996,314.6241736177777,
6,Guayacan manizaleño,Simple,0.01666129032258068,0.019135483870967862,72,8817.974279330003,10.456137185246915,585.3404063777779,
1,Guayacan rosado,Digitada,0.03416129032258075,0.07193548387096782,38.2,4414.950234399322,4.739440985157887,,
2,Guayacan rosado,Digitada,0.07459462365591407,0.5287419354838712,29.8,3717.572964006365,4.849310761891133,,
3,Guayacan rosado,Digitada,0.1325838709677425,0.3001064516129035,34,4051.283701351525,5.125636172213079,,
4,Guayacan rosado,Digitada,0.04412795698924754,0.1396666666666666,37,4307.8363505613115,5.913995913412071,4193.0,
5,Guayacan rosado,Digitada,0.02546666666666675,0.11613548387096784,48,5395.559787401999,5.150142966599134,4589.0,
6,Guayacan rosado,Digitada,0.14732258064516168,0.0671354838709679,90,12745.828382273294,14.655238700262617,1292.0,
7,Guayacan rosado,Digitada,0.09374516129032306,0.5161419354838714,81,10601.527571234252,11.58314874693474,671.0,
8,Guayacan rosado,Digitada,0.08248924731182794,0.37150215053763436,71,8639.328366302194,6.725986983296809,1305.0,
9,Guayacan rosado,Digitada,0.0938838709677422,0.30887096774193545,"69,4-39,3",12876.46841640035,7.721921541004152,2294.0,
10,Guayacan rosado,Digitada,0.10578924731182837,0.6155021505376346,42.5,4821.119017800447,7.496036614502667,,
1,Indio desnudo,Paripinnada_tallo_hojas,0.030322580645161468,0.06593548387096781,66.5,7879.164567097337,4.747677705264452,3338.769,
1,Jabutijaba,Simple_pequeña,0.0018612903225807553,0.005035483870967861,21/23/18/20/20/20/18/16/15/23/28/36/22/42/16,48635.948600386226,6.76137237165228,42.79382122222223,
2,Jabutijaba,Simple_pequeña,0.02116129032258085,0.032035483870967774,26/22/16/25/15/12/26/16,24351.661081425515,4.503380067744351,79.79596944000002,
1,Leucaena,Compuesta_bipinada,0.0860838709677425,0.04243548387096796,32.5,3928.795167294297,6.547929111610984,2754.564,
3,Leucaena,Compuesta_bipinada,0.038122580645161386,0.047435483870967854,53,5976.965407026083,13.179112961906284,2238.012,
4,Leucaena,Compuesta_bipinada,0.05398387096774204,0.07193548387096782,45,5074.2279064340855,10.486346953879197,1267.188791782222,
8,Leucaena,Compuesta_bipinada,0.025322580645161574,0.05993548387096781,38,4396.914728577612,,997.88897196,
9,Leucaena,Compuesta_bipinada,0.04748387096774209,0.04893548387096791,,0.0,,1145.482368528889,
10,Leucaena,Compuesta_bipinada,0.039322580645161365,0.031935483870967785,,0.0,,1091.794232177778,
1,Lirata,Simple_grande,0.06014516129032277,0.805677419354839,83-56,17399.966333957876,8.954343106844133,7900.749,
1,Majagua,Simple_grande,0.02646666666666686,0.04166666666666674,125.3,26250.90931278113,13.322944272966016,352.429,
2,Majagua,Simple_grande,0.01646666666666685,0.03766666666666674,177.6,76565.13083484342,26.156276881186876,396.26,
3,Majagua,Simple_grande,0.01646666666666663,0.03266666666666662,103.5,16802.252067555433,11.405408347023913,346.716,
4,Majagua,Simple_grande,0.01746666666666674,0.06566666666666676,83.5,11158.108077018614,16.23101803215132,365.234,
5,Majagua,Simple_grande,0.013466666666666738,0.03666666666666685,92.8,13497.608805968368,10.552996470405663,383.591,
6,Majagua,Simple_grande,0.01546666666666674,0.026666666666666616,"116,0/108,4",40275.66092126572,15.509325676450189,347.814,
7,Majagua,Simple_grande,0.01546666666666674,0.024666666666666615,92.5,13414.984742993905,14.027261930959833,332.651,
8,Majagua,Simple_grande,0.012466666666666848,0.02066666666666661,117.5,22377.488785406575,18.371550428345532,356.931,
9,Majagua,Simple_grande,0.009466666666666734,0.03166666666666673,71.3,8692.538744447977,15.332522420077908,238.315,
10,Majagua,Simple_grande,0.011466666666666736,0.06666666666666687,127,27180.371658064458,16.407045684121364,192.709,
1,Mamoncillo,3_foliolos,0.04982258064516154,0.15207096774193585,173,69685.48621946402,20.014934182042808,1872.755107528889,
2,Mamoncillo,3_foliolos,0.01986129032258077,0.12223548387096783,95/129/112,62430.4078826015,15.948123207756458,3028.049786182223,
3,Mamoncillo,3_foliolos,0.03216129032258064,0.06303548387096791,170,65535.37589813157,19.82175381463626,2143.052344711111,
1,Mango,Simple,0.009466666666666734,0.18633333333333346,141.3,36422.17672568452,7.370605914090421,889.879,
2,Mango,Simple,0.013466666666666738,0.38233333333333364,"107,5/64,2/115,1",47057.39969499506,6.516184505751228,1080.605,
3,Mango,Simple,0.006466666666666621,0.3493333333333335,151,44420.93640460757,12.68996955153729,1007.695,
4,Mango,Simple,0.0074666666666667325,0.34133333333333327,"68,2/97,2/98,3/58,7/94,1/66,8/128,5",94567.171310024,10.409448790002314,1053.437,
